Epoch 184: 25it [00:00, 37.30it/s, loss=3.31e+3]
Epoch 185: 25it [00:00, 39.05it/s, loss=6e+3]
Epoch 186: 25it [00:00, 37.48it/s, loss=4.19e+3]
Epoch 187: 25it [00:00, 37.22it/s, loss=2.98e+3]
Epoch 188: 25it [00:00, 36.37it/s, loss=7.14e+3]
Epoch 189: 25it [00:00, 36.97it/s, loss=4.11e+3]
Epoch 190: 25it [00:00, 36.14it/s, loss=1e+4]
Epoch 191: 25it [00:00, 37.58it/s, loss=3.68e+3]
Epoch 192: 25it [00:00, 34.92it/s, loss=2.82e+3]
Epoch 193: 25it [00:00, 36.41it/s, loss=8.71e+3]
Epoch 194: 25it [00:00, 35.98it/s, loss=3.13e+3]
Epoch 195: 25it [00:00, 35.20it/s, loss=2.52e+3]
Epoch 196: 25it [00:00, 37.72it/s, loss=1.72e+3]
Epoch 197: 25it [00:00, 37.54it/s, loss=1.6e+3]
Epoch 198: 25it [00:00, 36.38it/s, loss=4.38e+3]
Epoch 199: 25it [00:00, 37.62it/s, loss=4e+3]
Epoch 200: 25it [00:00, 36.33it/s, loss=3.36e+3]
Epoch 201: 25it [00:00, 36.57it/s, loss=2.52e+3]
Epoch 202: 25it [00:00, 37.11it/s, loss=3.83e+3]
Epoch 203: 25it [00:00, 37.02it/s, loss=2.69e+3]
Epoch 204: 25it [00:00, 37.39it/s, loss=3.38e+3]
Epoch 205: 25it [00:00, 37.47it/s, loss=9.95e+3]
Epoch 206: 25it [00:00, 38.00it/s, loss=2.47e+3]
Epoch 207: 25it [00:00, 35.02it/s, loss=3.23e+3]
Epoch 208: 25it [00:00, 36.89it/s, loss=4.05e+3]
Epoch 209: 25it [00:00, 37.30it/s, loss=2.61e+3]
Epoch 210: 25it [00:00, 37.18it/s, loss=2.66e+3]
Epoch 211: 25it [00:00, 36.27it/s, loss=3.02e+3]
Epoch 212: 25it [00:00, 37.25it/s, loss=3.26e+3]
Epoch 213: 25it [00:00, 38.35it/s, loss=3.9e+3]
Epoch 214: 25it [00:00, 38.84it/s, loss=3.43e+3]
Epoch 215: 25it [00:00, 40.40it/s, loss=3.38e+3]
Epoch 216: 25it [00:00, 39.92it/s, loss=3.23e+3]
Epoch 217: 25it [00:00, 38.18it/s, loss=5.99e+3]
Epoch 218: 25it [00:00, 37.76it/s, loss=3.06e+3]
Epoch 219: 25it [00:00, 36.97it/s, loss=2.98e+3]
Epoch 220: 25it [00:00, 36.61it/s, loss=3.72e+3]
Epoch 221: 25it [00:00, 35.88it/s, loss=3.22e+3]
Epoch 222: 25it [00:00, 34.14it/s, loss=2.97e+3]
Epoch 223: 25it [00:00, 36.98it/s, loss=3.37e+3]
Epoch 224: 25it [00:00, 39.14it/s, loss=3.49e+3]
Epoch 225: 25it [00:00, 38.82it/s, loss=3.64e+3]
Epoch 226: 25it [00:00, 37.04it/s, loss=2.99e+3]
Epoch 227: 25it [00:00, 36.64it/s, loss=2.93e+3]
Epoch 228: 25it [00:00, 37.93it/s, loss=4.1e+3]
Epoch 229: 25it [00:00, 37.40it/s, loss=3.03e+3]
Epoch 230: 25it [00:00, 38.87it/s, loss=5.98e+3]
Epoch 231: 25it [00:00, 35.47it/s, loss=3.94e+3]
Epoch 232: 25it [00:00, 36.84it/s, loss=1.1e+4]
Epoch 233: 25it [00:00, 37.30it/s, loss=7.99e+3]
Epoch 234: 25it [00:00, 38.54it/s, loss=3.34e+3]
Epoch 235: 25it [00:00, 37.96it/s, loss=1.42e+3]
Epoch 236: 25it [00:00, 36.60it/s, loss=2.18e+3]
Epoch 237: 25it [00:00, 37.36it/s, loss=7.21e+3]
Epoch 238: 25it [00:00, 38.35it/s, loss=2.05e+3]
Epoch 239: 25it [00:00, 35.75it/s, loss=2.71e+3]
Epoch 240: 25it [00:00, 37.51it/s, loss=3.59e+3]
Epoch 241: 25it [00:00, 37.75it/s, loss=1.87e+3]
Epoch 242: 25it [00:00, 36.83it/s, loss=3.22e+3]
Epoch 243: 25it [00:00, 38.13it/s, loss=2.86e+3]
Epoch 244: 25it [00:00, 36.36it/s, loss=2.26e+3]
Epoch 245: 25it [00:00, 35.39it/s, loss=4.37e+3]
Epoch 246: 25it [00:00, 39.74it/s, loss=3.12e+3]
Epoch 247: 25it [00:00, 40.00it/s, loss=6.41e+3]
Epoch 248: 25it [00:00, 37.89it/s, loss=3.22e+3]
Epoch 249: 25it [00:00, 38.72it/s, loss=2.43e+3]
Epoch 250: 25it [00:00, 36.80it/s, loss=5.01e+3]
Epoch 251: 25it [00:00, 37.63it/s, loss=3.02e+3]
Epoch 252: 25it [00:00, 38.85it/s, loss=2.12e+3]
Epoch 253: 25it [00:00, 38.58it/s, loss=2.75e+3]
Epoch 254: 25it [00:00, 38.62it/s, loss=4.11e+3]
Epoch 255: 25it [00:00, 38.11it/s, loss=1.67e+3]
Epoch 256: 25it [00:00, 39.56it/s, loss=3.12e+3]
Epoch 257: 25it [00:00, 38.48it/s, loss=1.59e+3]
Epoch 258: 25it [00:00, 38.20it/s, loss=6.73e+3]
Epoch 259: 25it [00:00, 36.76it/s, loss=2.89e+3]
Epoch 260: 25it [00:00, 37.88it/s, loss=1.72e+3]
Epoch 261: 25it [00:00, 36.55it/s, loss=3.31e+3]
Epoch 262: 25it [00:00, 36.34it/s, loss=5.61e+3]
Epoch 263: 25it [00:00, 37.65it/s, loss=3.91e+3]
Epoch 264: 25it [00:00, 36.97it/s, loss=1.49e+4]
Epoch 265: 25it [00:00, 37.45it/s, loss=3.52e+3]
Epoch 266: 25it [00:00, 37.95it/s, loss=3.15e+3]
Epoch 267: 25it [00:00, 36.52it/s, loss=3.3e+3]
Epoch 268: 25it [00:00, 37.06it/s, loss=1.79e+3]
Epoch 269: 25it [00:00, 36.59it/s, loss=2.34e+3]
Epoch 270: 25it [00:00, 36.09it/s, loss=2.8e+3]
Epoch 271: 25it [00:00, 38.22it/s, loss=3.69e+3]
Epoch 272: 25it [00:00, 35.19it/s, loss=3.43e+3]
Epoch 273: 25it [00:00, 38.09it/s, loss=2.54e+3]
Epoch 274: 25it [00:00, 37.36it/s, loss=5.57e+3]
Epoch 275: 25it [00:00, 39.15it/s, loss=4.57e+3]
Epoch 276: 25it [00:00, 39.55it/s, loss=2.15e+3]
Epoch 277: 25it [00:00, 38.46it/s, loss=2.7e+3]
Epoch 278: 25it [00:00, 38.09it/s, loss=2.76e+3]
Epoch 279: 25it [00:00, 37.77it/s, loss=3.53e+3]
Epoch 280: 25it [00:00, 34.45it/s, loss=2.35e+3]
Epoch 281: 25it [00:00, 36.89it/s, loss=2.96e+3]
Epoch 282: 25it [00:00, 36.76it/s, loss=1.68e+3]
Epoch 283: 25it [00:00, 36.44it/s, loss=2.82e+3]
Epoch 284: 25it [00:00, 36.37it/s, loss=3.33e+3]
Epoch 285: 25it [00:00, 36.53it/s, loss=4.89e+3]
Epoch 286: 25it [00:00, 35.49it/s, loss=2.03e+3]
Epoch 287: 25it [00:00, 37.42it/s, loss=2.51e+3]
Epoch 288: 25it [00:00, 37.65it/s, loss=1.48e+3]
Epoch 289: 25it [00:00, 35.79it/s, loss=4.07e+3]
Epoch 290: 25it [00:00, 37.28it/s, loss=1.61e+3]
Epoch 291: 25it [00:00, 38.02it/s, loss=4.46e+3]
Epoch 292: 25it [00:00, 35.95it/s, loss=4.42e+3]
Epoch 293: 25it [00:00, 36.93it/s, loss=7.49e+3]
Epoch 294: 25it [00:00, 37.41it/s, loss=3.68e+3]
Epoch 295: 25it [00:00, 36.83it/s, loss=2.19e+3]
Epoch 296: 25it [00:00, 38.16it/s, loss=2.31e+3]
Epoch 297: 25it [00:00, 38.56it/s, loss=1.42e+3]
Epoch 298: 25it [00:00, 40.03it/s, loss=1.92e+3]
Epoch 299: 25it [00:00, 38.34it/s, loss=3.61e+3]
Epoch 300: 25it [00:00, 37.81it/s, loss=1.32e+3]
Epoch 301: 25it [00:00, 36.28it/s, loss=9.24e+3]
Epoch 302: 25it [00:00, 36.52it/s, loss=6.69e+3]
Epoch 303: 25it [00:00, 38.34it/s, loss=2.75e+3]
Epoch 304: 25it [00:00, 36.78it/s, loss=2.25e+3]
Epoch 305: 25it [00:00, 36.58it/s, loss=3e+3]
Epoch 306: 25it [00:00, 36.70it/s, loss=2.7e+3]
Epoch 307: 25it [00:00, 37.33it/s, loss=1.29e+4]
Epoch 308: 25it [00:00, 36.61it/s, loss=3.18e+3]
